==========Reference Mapping Quality===========
NUMBER OF BP's IN REFERENCE GENOME: 190000
Mapping to reference for isolate 2011EL-2317 is -19.63%
Mapping to reference for isolate VC-1 is -96.00%
Mapping to reference for isolate VC-10 is -58.11%
Mapping to reference for isolate 2010EL-1796 is -12.22%
Mapping to reference for isolate 2012V-1001 is -20.19%
Mapping to reference for isolate VC-14 is 4.32%
Mapping to reference for isolate 2010EL-1749 is -12.43%
Mapping to reference for isolate 3554-08 is -40.30%
Mapping to reference for isolate VC-15 is -2.55%
Mapping to reference for isolate VC-18 is 1.38%
Mapping to reference for isolate VC-25 is 6.66%
Mapping to reference for isolate 2010EL-1798 is -12.41%
Mapping to reference for isolate VC-19 is 12.83%
Mapping to reference for isolate VC-26 is 18.28%
Mapping to reference for isolate C6706 is -13.48%
Mapping to reference for isolate VC-6 is -63.25%
